pc_time_ms,datetime,risk,domain,subject_id,label,trial_id,raw_line
1782139848874,2026-06-22T23:50:48.874,danger,post_fall,yja,post_chair_fall_inactive,t013,"CSI_DATA,3221794,1a:00:00:00:00:00,-66,11,-99,16,48,11,1087830902,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-12,7,-13,7,-15,8,-14,6,-16,5,-14,4,-13,7,-16,7,-18,6,-20,6,-18,0,-20,1,-21,1,-23,-1,-23,0,-24,-2,-22,-2,-23,-5,-20,-3,-22,0,-24,0,-25,-1,-23,-4,-18,-8,-22,-8,-20,-6,-23,-10,-22,-8,-22,-9,-20,-7,-20,-9,-18,-5,-20,-3,-21,-1,-22,-1,-24,-3,-23,-5,-18,-8,-22,-6,-22,-7,-24,-5,-22,-7,-22,-7,-23,-5,-17,-3,-20,0,-20,0,-24,1,-25,0,-25,0,-21,-6,-25,-7,-25,-2,-22,-3,-23,-7,-22,-2,-24,-3,0,0,0,0,0,0,-4,24,-4,24,-2,18,-3,22,-4,24,-6,18,-5,22,-2,20,-5,22,-3,16,0,16,0,18,1,20,1,20,-3,15,-1,17,0,18,-1,18,0,16,0,18,1,14,0,17,1,14,4,14,3,16,5,16,3,16,0,15,3,16,3,15,1,17,4,17,2,16,1,16,0,14,3,13,5,12,5,14,4,15,4,15,2,15,-1,14,0,15,0,15,0,15,-1,14,-2,13,-1,14,0,10,0,11,0,11,0,12,-1,12,-2,12,-5,8,-4,10,-5,9,0,0,0,0,0,0,0,0,0,0]"""
1782139848884,2026-06-22T23:50:48.884,danger,post_fall,yja,post_chair_fall_inactive,t013,"CSI_DATA,3221795,1a:00:00:00:00:00,-66,11,-99,17,48,11,1087839989,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,11,-9,10,-6,15,-9,13,-7,17,-7,15,-5,16,-4,19,-5,18,-1,22,-2,18,0,19,2,21,3,21,3,18,4,24,11,19,9,21,11,17,11,20,10,22,12,16,15,20,15,17,15,16,17,15,17,15,19,13,14,15,23,11,18,11,18,10,15,13,18,10,20,14,18,10,20,10,22,8,19,9,22,11,22,10,20,6,23,5,22,11,19,6,16,10,22,3,20,10,21,6,23,6,23,4,20,2,23,3,22,4,25,2,23,2,20,3,24,0,0,0,0,0,0,22,-1,27,0,20,0,22,3,25,3,18,2,24,4,19,4,22,5,17,4,17,5,21,5,17,6,20,4,16,2,15,4,17,3,17,5,14,3,18,6,14,5,17,4,13,4,12,5,15,5,14,5,17,5,15,3,14,5,14,5,15,6,13,5,15,9,12,8,14,7,11,6,15,6,13,10,13,9,11,11,11,11,8,11,8,12,10,13,9,10,6,13,5,12,8,11,3,9,5,12,1,11,4,11,1,13,1,12,0,10,-1,10,-2,10,0,0,0,0,0,0,0,0,0,0]"""
1782139848894,2026-06-22T23:50:48.894,danger,post_fall,yja,post_chair_fall_inactive,t013,"CSI_DATA,3221796,1a:00:00:00:00:00,-66,11,-99,16,48,11,1087851958,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,7,11,7,14,4,11,5,15,5,12,5,18,5,20,2,15,2,17,0,17,4,21,1,20,2,21,1,19,1,23,0,18,0,24,1,22,-1,27,-5,25,-5,20,-1,22,-4,20,-1,25,0,24,-1,22,-1,20,-3,22,0,18,0,24,0,22,-1,28,-3,24,-1,22,-2,23,-1,20,0,19,5,22,3,20,4,18,1,21,7,18,9,21,7,23,6,28,2,22,7,24,3,25,7,18,9,23,13,24,10,18,9,22,10,20,15,20,12,22,11,24,0,0,0,0,0,0,21,-12,17,-12,23,-16,18,-11,14,-7,19,-12,14,-12,16,-14,13,-13,18,-12,18,-12,14,-9,13,-11,12,-10,12,-15,11,-13,9,-14,9,-13,10,-14,7,-11,8,-14,7,-14,9,-18,9,-14,7,-12,7,-13,6,-12,4,-16,3,-15,3,-13,4,-13,5,-16,1,-12,1,-15,1,-16,3,-20,5,-16,3,-15,6,-15,4,-12,3,-14,1,-16,2,-13,1,-12,3,-12,0,-12,1,-14,5,-12,7,-15,5,-10,5,-11,7,-9,4,-10,6,-9,5,-11,4,-9,5,-7,0,0,0,0,0,0,0,0,0,0]"""
1782139848904,2026-06-22T23:50:48.904,danger,post_fall,yja,post_chair_fall_inactive,t013,"CSI_DATA,3221797,1a:00:00:00:00:00,-66,11,-99,21,47,11,1087861997,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-12,-9,-8,-9,-11,-13,-7,-10,-7,-16,-7,-12,-10,-13,-9,-16,-9,-18,-10,-19,-4,-18,-6,-19,-5,-19,-2,-21,0,-18,-1,-25,0,-21,3,-26,0,-19,-2,-19,0,-22,1,-23,1,-27,6,-22,2,-22,3,-23,7,-23,5,-20,8,-25,8,-20,9,-22,2,-17,3,-21,3,-21,1,-21,4,-23,5,-24,7,-21,3,-22,7,-23,6,-20,7,-23,6,-19,7,-22,2,-17,3,-23,3,-22,1,-23,4,-25,3,-25,6,-21,5,-24,6,-23,5,-25,8,-22,5,-21,6,-23,0,0,0,0,0,0,-20,-8,-25,-10,-17,-6,-21,-10,-25,-8,-17,-8,-20,-9,-15,-6,-20,-10,-17,-3,-17,-5,-20,-5,-19,-4,-20,-5,-16,-5,-17,-2,-16,-3,-16,-5,-13,-3,-19,-4,-13,-2,-17,-4,-13,-1,-14,0,-17,-3,-17,0,-18,-1,-14,-1,-15,0,-17,-1,-17,-3,-15,-2,-17,-2,-13,-3,-16,-3,-12,-1,-15,-1,-15,-2,-15,-1,-17,-3,-15,-4,-13,-6,-14,-4,-13,-7,-13,-5,-13,-7,-11,-7,-11,-6,-9,-5,-11,-6,-10,-6,-11,-5,-10,-6,-8,-6,-6,-9,-7,-8,-5,-9,0,0,0,0,0,0,0,0,0,0]"""
1782139848914,2026-06-22T23:50:48.914,danger,post_fall,yja,post_chair_fall_inactive,t013,"CSI_DATA,3221798,1a:00:00:00:00:00,-66,11,-99,16,48,11,1087872989,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,-9,12,-7,9,-13,13,-9,9,-15,11,-12,7,-14,8,-18,7,-17,5,-22,7,-19,2,-18,0,-20,1,-22,0,-17,0,-27,-2,-19,-1,-24,-3,-18,-5,-20,-5,-24,-9,-21,-6,-25,-11,-20,-10,-20,-12,-18,-12,-20,-13,-15,-9,-23,-16,-15,-11,-19,-14,-12,-10,-18,-12,-16,-14,-18,-13,-17,-14,-17,-19,-14,-16,-14,-17,-17,-16,-14,-12,-17,-19,-12,-14,-19,-16,-10,-11,-18,-16,-13,-18,-16,-16,-16,-18,-14,-20,-12,-18,-12,-20,-11,-18,-14,-23,-13,-20,-10,-17,-14,-20,0,0,0,0,0,0,-18,9,-25,11,-16,7,-19,8,-25,9,-15,4,-24,8,-15,6,-22,7,-15,3,-16,4,-19,4,-17,4,-21,7,-17,1,-15,1,-16,3,-16,4,-13,4,-19,3,-14,3,-17,4,-11,3,-14,3,-16,3,-14,3,-17,3,-14,1,-16,1,-16,1,-17,1,-12,1,-19,2,-11,1,-16,1,-12,0,-16,3,-16,0,-15,0,-14,-1,-17,-3,-12,-4,-14,-5,-14,-4,-12,-3,-14,-7,-9,-5,-13,-4,-7,-5,-11,-6,-9,-7,-10,-7,-9,-8,-7,-10,-7,-10,-3,-9,-5,-8,0,0,0,0,0,0,0,0,0,0]"""
1782139848924,2026-06-22T23:50:48.924,danger,post_fall,yja,post_chair_fall_inactive,t013,"CSI_DATA,3221799,1a:00:00:00:00:00,-66,11,-99,19,47,11,1087883989,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,14,0,17,-1,14,-4,17,-4,14,-3,14,-7,18,-7,19,-9,20,-10,14,-14,16,-14,14,-16,15,-16,16,-18,17,-14,16,-18,15,-15,10,-16,11,-21,11,-20,14,-23,14,-19,8,-23,8,-22,8,-24,8,-20,9,-25,10,-20,8,-22,8,-16,4,-17,7,-20,7,-20,8,-22,9,-24,6,-20,2,-23,3,-25,4,-23,8,-24,4,-20,5,-21,8,-17,4,-19,8,-20,6,-21,10,-26,8,-24,6,-21,0,-25,4,-22,4,-24,6,-24,2,-23,2,-23,5,0,0,0,0,0,0,4,23,3,28,0,18,5,20,2,25,0,18,2,24,2,20,0,22,1,17,2,16,2,18,3,19,1,22,0,15,0,18,0,18,0,19,0,17,2,18,4,16,4,17,0,12,2,13,1,16,3,16,3,17,0,14,-1,18,1,15,1,16,2,16,1,17,1,14,3,16,0,12,2,15,0,14,1,15,1,17,-1,18,-2,14,-5,16,-4,15,-3,14,-4,14,-4,12,-3,12,-3,10,-3,12,-5,10,-5,12,-6,12,-8,10,-6,6,-9,7,-8,6,0,0,0,0,0,0,0,0,0,0]"""
1782139848934,2026-06-22T23:50:48.934,danger,post_fall,yja,post_chair_fall_inactive,t013,"CSI_DATA,3221801,1a:00:00:00:00:00,-66,11,-99,15,48,11,1087907837,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,10,9,10,12,10,11,10,13,9,15,8,15,6,17,3,15,7,18,2,19,3,18,0,20,1,20,0,22,-1,24,1,21,1,22,-2,24,-2,24,-4,23,-7,18,-3,24,-8,22,-6,21,-9,23,-8,20,-9,21,-12,23,-5,21,-5,22,-8,22,-8,22,-10,18,-8,20,-10,20,-8,21,-8,20,-7,20,-8,19,-6,19,-10,20,-3,22,-4,22,-8,24,-9,25,-10,18,-8,22,-11,21,-8,22,-10,23,-8,23,-7,23,-9,22,-10,22,-6,24,-10,24,-10,24,0,0,0,0,0,0,23,10,21,9,21,10,20,11,18,9,18,11,18,7,19,9,18,8,16,11,17,9,14,11,18,10,15,10,14,10,15,9,14,8,14,7,16,8,15,4,15,6,16,5,15,6,15,5,13,7,15,4,14,6,14,4,15,6,14,6,13,6,15,8,14,2,14,3,15,6,16,5,13,6,14,6,14,8,13,7,12,8,13,7,12,6,12,6,11,10,12,6,12,7,11,8,10,11,6,8,8,10,5,10,8,9,4,10,6,9,4,10,3,10,0,0,0,0,0,0,0,0,0,0]"""
1782139848944,2026-06-22T23:50:48.944,danger,post_fall,yja,post_chair_fall_inactive,t013,"CSI_DATA,3221802,1a:00:00:00:00:00,-66,11,-99,17,48,11,1087917368,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,11,9,10,8,13,12,10,10,10,15,7,11,9,13,11,16,8,16,13,18,7,17,8,18,8,18,5,21,4,18,1,27,3,20,0,25,0,18,0,18,1,26,0,23,0,28,-1,21,0,23,-1,22,-3,23,-1,20,-8,27,-5,21,-5,22,-3,15,0,22,-2,20,0,22,-3,23,-3,25,-5,20,-3,23,-5,25,-1,22,-8,24,-6,20,-2,22,-2,14,0,23,-3,21,1,24,-3,27,-1,24,-4,19,-5,25,-5,23,-3,25,-6,23,-3,20,-3,24,0,0,0,0,0,0,22,4,26,6,17,3,22,6,26,6,18,6,22,6,17,4,20,6,15,4,17,3,19,1,18,4,20,1,14,3,18,2,17,1,16,1,14,0,18,3,16,2,18,2,11,0,13,-1,17,-1,16,0,18,-1,14,0,15,-1,16,0,17,0,14,-1,17,3,13,1,16,1,10,0,15,-1,15,1,14,-1,17,2,16,1,13,3,13,3,15,3,13,3,14,6,10,6,13,4,8,2,11,5,9,5,11,4,10,7,11,6,7,6,6,8,6,8,0,0,0,0,0,0,0,0,0,0]"""
1782139848954,2026-06-22T23:50:48.954,danger,post_fall,yja,post_chair_fall_inactive,t013,"CSI_DATA,3221803,1a:00:00:00:00:00,-66,11,-99,14,47,11,1087927989,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,23,3,16,3,68,3,11,22,-1,6,-47,-7,0,19,-2,13,34,20,18,9,6,11,1,12,-3,23,-2,23,-2,26,14,23,3,20,-4,26,-11,25,-5,23,-4,23,-6,27,-5,20,-5,19,-9,20,-9,20,-11,21,-11,23,-4,21,-3,21,-6,22,-5,22,-8,20,-6,20,-9,23,-6,20,-7,22,-3,20,-4,20,-5,20,-6,20,0,22,0,23,-5,23,-6,23,-3,20,-3,23,-6,22,-2,24,-5,25,-3,23,-2,25,-3,25,-2,23,-1,23,-3,25,-2,23,0,0,0,0,0,0,27,3,23,3,22,3,23,1,23,3,20,1,19,0,21,0,20,1,20,2,18,1,16,3,20,0,16,2,16,1,17,0,17,0,18,0,18,0,13,-3,14,-3,15,-2,15,-2,15,-2,15,0,16,-4,14,-1,13,-3,16,-1,14,-3,15,-3,16,-3,13,-5,14,-6,13,-5,15,-3,14,-3,15,-3,16,-3,14,-3,13,-1,12,-3,13,-1,14,-1,13,0,12,-5,12,-3,14,0,13,0,10,1,11,0,12,3,13,1,11,2,10,3,10,2,10,3,0,0,0,0,0,0,0,0,0,0]"""
1782139848964,2026-06-22T23:50:48.964,danger,post_fall,yja,post_chair_fall_inactive,t013,"CSI_DATA,3221804,1a:00:00:00:00:00,-66,11,-99,17,48,11,1087938989,47,2,256,0,""[0,0,0,0,0,0,0,0,0,0,0,0,8,11,5,11,6,15,6,12,6,15,4,17,5,18,5,18,2,17,3,20,2,21,1,20,0,21,1,19,0,18,0,23,0,22,0,24,-1,25,-3,24,-3,26,-3,20,-3,25,-2,25,-3,22,-3,22,-3,20,0,20,-4,24,-2,20,-1,23,-3,22,0,24,-2,21,0,21,0,20,0,23,0,25,0,22,1,19,3,18,2,23,3,22,4,22,5,22,6,26,3,23,7,22,5,20,6,23,6,24,5,21,6,20,8,27,7,23,6,20,8,24,0,0,0,0,0,0,18,-8,22,-8,22,-9,20,-10,19,-9,17,-9,20,-8,15,-6,17,-9,18,-10,17,-11,14,-11,13,-8,15,-10,16,-12,13,-10,13,-10,11,-10,9,-9,13,-13,9,-10,10,-13,9,-11,10,-12,9,-13,7,-11,8,-13,8,-14,8,-13,7,-13,6,-13,5,-13,8,-15,5,-12,5,-14,7,-12,6,-15,6,-13,5,-12,6,-13,7,-13,7,-13,7,-11,6,-11,5,-10,7,-11,6,-10,5,-12,7,-10,8,-12,6,-9,6,-9,7,-7,6,-8,8,-8,7,-5,7,-6,0,0,0,0,0,0,0,0,0,0]"""
